file	endpoint	host	port	resolved_ip	ping_ms	nmap_open_udp
us-atl-wg-304.conf	67.213.209.119:51820	67.213.209.119	51820	67.213.209.119	191	-
us-atl-wg-305.conf	67.213.209.120:51820	67.213.209.120	51820	67.213.209.120	191	-
us-atl-wg-306.conf	67.213.209.121:51820	67.213.209.121	51820	67.213.209.121	190	-
us-atl-wg-401.conf	23.234.108.3:51820	23.234.108.3	51820	23.234.108.3	191	-
us-atl-wg-402.conf	23.234.108.127:51820	23.234.108.127	51820	23.234.108.127	190	-
us-atl-wg-403.conf	23.234.109.3:51820	23.234.109.3	51820	23.234.109.3	193	-
us-atl-wg-404.conf	23.234.109.127:51820	23.234.109.127	51820	23.234.109.127	192	-
us-atl-wg-405.conf	23.234.110.3:51820	23.234.110.3	51820	23.234.110.3	192	-
us-atl-wg-406.conf	23.234.110.127:51820	23.234.110.127	51820	23.234.110.127	192	-
us-atl-wg-407.conf	23.234.111.3:51820	23.234.111.3	51820	23.234.111.3	193	-
us-atl-wg-408.conf	23.234.111.127:51820	23.234.111.127	51820	23.234.111.127	192	-
us-bos-wg-001.conf	43.225.189.131:51820	43.225.189.131	51820	43.225.189.131	191	-
us-bos-wg-101.conf	149.40.50.98:51820	149.40.50.98	51820	149.40.50.98	190	-
us-bos-wg-102.conf	149.40.50.112:51820	149.40.50.112	51820	149.40.50.112	190	-
us-chi-wg-201.conf	87.249.134.1:51820	87.249.134.1	51820	87.249.134.1	191	-
us-chi-wg-202.conf	87.249.134.14:51820	87.249.134.14	51820	87.249.134.14	163	-
us-chi-wg-203.conf	87.249.134.27:51820	87.249.134.27	51820	87.249.134.27	219	-
us-chi-wg-301.conf	68.235.46.2:51820	68.235.46.2	51820	68.235.46.2	190	-
us-chi-wg-302.conf	68.235.46.33:51820	68.235.46.33	51820	68.235.46.33	191	-
us-chi-wg-303.conf	68.235.46.64:51820	68.235.46.64	51820	68.235.46.64	191	-
us-chi-wg-304.conf	68.235.46.95:51820	68.235.46.95	51820	68.235.46.95	191	-
us-chi-wg-305.conf	68.235.46.126:51820	68.235.46.126	51820	68.235.46.126	191	-
us-chi-wg-306.conf	68.235.46.157:51820	68.235.46.157	51820	68.235.46.157	191	-
us-chi-wg-307.conf	68.235.46.188:51820	68.235.46.188	51820	68.235.46.188	191	-
us-chi-wg-308.conf	68.235.46.209:51820	68.235.46.209	51820	68.235.46.209	190	-
us-dal-wg-001.conf	146.70.211.66:51820	146.70.211.66	51820	146.70.211.66	191	-
us-dal-wg-002.conf	146.70.211.2:51820	146.70.211.2	51820	146.70.211.2	191	-
us-dal-wg-003.conf	146.70.211.130:51820	146.70.211.130	51820	146.70.211.130	190	-
us-dal-wg-401.conf	37.19.200.156:51820	37.19.200.156	51820	37.19.200.156	191	-
us-dal-wg-402.conf	37.19.200.143:51820	37.19.200.143	51820	37.19.200.143	282	-
us-dal-wg-403.conf	37.19.200.130:51820	37.19.200.130	51820	37.19.200.130	201	-
us-dal-wg-502.conf	206.217.206.47:51820	206.217.206.47	51820	206.217.206.47	293	-
us-dal-wg-503.conf	206.217.206.67:51820	206.217.206.67	51820	206.217.206.67	294	-
us-dal-wg-504.conf	206.217.206.87:51820	206.217.206.87	51820	206.217.206.87	191	-
us-dal-wg-505.conf	206.217.206.107:51820	206.217.206.107	51820	206.217.206.107	293	-
